"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",56699905.7009006,56700000,NA,56700000,56699905.7009006,NA,NA
"Glu_1.0",3963728.19922836,NA,6512063.84454313,3961625.8550246,3963728.19922836,6510000,NA
"Glu_1.1",19528333.1563666,19527984.6374605,NA,19527984.6374605,19528333.1563666,NA,26700336.8269504
"Glu_2.1",13191093.6192783,NA,14068918.6461052,13198863.6479063,13191093.6192783,14076546.384301,13692462.6002797
"Glu_2.2",7974413.37133109,7958325.66835769,NA,NA,7974413.37133108,11100000,8027580.59985531
"Glu_3.2",51953989.7437046,NA,52318243.813564,NA,51953989.7437046,NA,51957454.2568873
"Glu_3.3",1256909.80454397,1412394.15628961,NA,2246897.13624889,1256909.80454397,1436063.83257504,1222034.80059969
"Glu_4.3",0,NA,0,2019024.52637774,0,NA,0
"Glu_4.4",13049179.6157579,13034769.8309146,NA,13061213.2111573,NA,13018604.8758412,13048764.0532665
"Glu_5.4",112701850.625458,NA,113293579.773084,113196929.408483,NA,113385570.182308,112701595.627565
"Ser_0.0",15500000,15500000,NA,15500000,15500000,15500000,NA
"Ser_1.1",184232.94733567,NA,1459985.31953173,NA,184232.94733567,184232.94733567,NA
"Ser_2.2",7374.23655044855,20545.3859027903,NA,NA,NA,NA,194000.000000001
"Ser_3.3",40.399967082237,NA,0,2407.06522715351,NA,487.839846042014,2028.83753132832
