"","sample1","sample2","sample3","sample4","sample5","sample6","sample8"
"Glu_0.0",64512224.2611551,64512273.5783518,NA,64512273.5783518,64512224.2611551,NA,NA
"Glu_1.0",5206662.89952976,NA,7408377.46702945,5205216.199191,5206662.89952976,7406964.74418113,NA
"Glu_1.1",25009980.8348791,25009590.0783871,NA,25009590.0783871,25009980.8348791,NA,30379182.5699596
"Glu_2.1",15471477.9189878,NA,16325302.9847764,15482940.6051788,15471477.9189878,16336496.4560512,15904803.8541445
"Glu_2.2",9828438.43730581,9821055.41956017,NA,NA,9828438.43730581,12629386.8910001,10108421.7906029
"Glu_3.2",59900510.9613002,NA,60240781.7473184,NA,59900510.9613002,NA,59922870.0644777
"Glu_3.3",1721279.23652747,1810990.85913543,NA,2628374.29683539,1721279.23652747,1907120.47943754,1685470.32730417
"Glu_4.3",0,NA,0,2371749.73855177,0,NA,0
"Glu_4.4",14856587.1344708,14849204.1174103,NA,14891826.312699,NA,14831491.6518857,14855698.8985016
"Glu_5.4",128504077.698835,NA,129015954.885232,128981556.476689,NA,129178203.238371,128503768.16603
"Ser_0.0",17018403.6614549,17018403.6614549,NA,17018403.6614549,17018403.6614549,17018403.6614549,NA
"Ser_1.1",754479.97803165,NA,1603023.8287564,NA,754479.97803165,754479.97803165,NA
"Ser_2.2",18444.69142605,56063.33995439,NA,NA,NA,NA,213004.53614982
"Ser_3.3",177.12341585,NA,369.02090856,8054.48503053,NA,1096.78249783,4531.38474113
