"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",90026.81902743,136099.88867053,123020.70525706,90716.71117581,91815.54507529,508754.74829789,144984.16798313,383584.8312082,1100307.24872504,535154.29368448
"Ser_1",2859.43828454,18251.66113594,17858.91177663,10188.37040423,9330.90468166,39631.7835237,2031.12367944,18642.20655998,85458.59526137,16299.42627729
"Asn_0",111750.32225916,320045.13258377,313529.42663884,188770.61525424,193109.03563338,687834.59879966,172500.00402176,539194.73222813,1681485.19245435,627097.2092751
"Asn_1",1356.67034782,5673.36879832,6203.41836458,3491.71290395,3626.05019746,11356.41452718,2940.60686533,9588.21631131,40664.80264739,8574.29379735
"Asn_2",0,0,0,0,0,419.11474446,0,130.75061312,0,0
"Gly_0",328040.63141161,343873.43279621,317040.2904017,233244.12934712,240744.5439809,549364.43376595,433409.35765716,417208.20194521,1279384.25375863,1279753.69467692
"Gly_1",5550.17601782,35857.57774738,29859.2502159,18820.14669067,21786.20206789,33105.4925143,10782.81403136,17310.84503743,72852.81247434,35908.7206451
"Arg_0",46067.25647771,114632.90860921,105886.62540193,103196.72449785,109472.53547123,94538.4032021,45172.98825055,83846.28979135,113523.19201995,53621.15048017
"Arg_1",0,3547.46632461,1285.62814092,464.58608667,2447.12402285,736.49594925,2051.14810565,1959.84979568,2204.65835502,0
"Arg_2",0,0,0,0,0,0,0,0,0,0
"Arg_3",37921.67901816,9854.87954246,8718.92096907,9603.61266326,9868.01255344,49057.24334624,39837.35950806,43134.03557516,75407.44775591,96423.65671266
"Arg_4",5170.64049795,10883.81671226,10431.24791609,8899.54431146,8250.45589849,22090.43143127,5547.78352479,17163.74661786,39979.72680128,16184.14262961
"Ala_0",34927.88252516,160036.95910272,120556.25069876,98431.04509937,95151.54530183,183206.50296033,55211.16948632,100876.93574704,457160.73134775,265840.65885928
"Ala_1",6358.41376805,96672.18612759,73318.89607789,53255.07998346,59197.6978097,33769.33386285,6676.09779873,23337.58983481,116308.04630877,35209.36678543
"Asp_0",4227673.70197302,1905551.41789248,1517083.10853365,1261280.95722218,1250419.12402962,8286003.25641489,5566592.12338264,6829496.32193528,22404945.6669802,27312240.8449864
"Asp_1",908056.03733216,2127033.43980148,1535992.25277891,1199891.41744634,1159278.39033341,4102174.32498615,1104979.11424632,3269342.74501516,13098126.0393995,6891037.17732217
"Glu_0",7542658.29739404,5559004.5854879,4447359.12145216,3590700.30943282,3737259.7941219,16212798.0295708,9314835.92389165,13609306.4190942,38538431.7692805,39803371.6652802
"Glu_1",1053924.08825161,5747563.52818482,4126807.32400966,3210031.97857991,3364274.76119461,7841234.71041646,1558456.45676235,6163935.15420528,19591458.0855732,7022016.57423793
"Orn_0",80057.30110849,172605.7765882,156337.11893601,99380.6525739,95277.93829501,285918.16886709,88338.20505361,160939.22002142,570294.64155017,466727.43633026
"Orn_1",1651.95598279,15456.75508083,7781.93464692,6991.77635144,8674.2874251,6447.58052096,2353.61752491,14195.85385577,51493.60302145,18905.78409236
"Orn_2",2435.83327856,0,0,167.50626802,4944.77376864,0,0,7582.72776459,0,0
"Pro_0",165429.04436853,583952.41645919,493118.74154982,335155.96997147,346125.21711768,590142.1229195,199807.58521634,542725.11039444,2601126.21343376,1409430.35395258
"Pro_1",18734.06043051,515284.552473,373041.33686971,274591.61476059,289186.26237375,229769.71511172,26589.99857433,191937.71001314,1094428.781569,219923.60843567
