"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"Ser_0",0,0,0,0,0,0,0,0,0,0
"Ser_1",0,0,0,0,0,0,0,0,0,0
"Asn_0",-0.28511825,-0.11378205,-0.04163496,-0.22463044,-0.52701079,0,-0.09643157,0,-0.2709713,-0.06335105
"Asn_1",-64.80650618,-25.86231269,-9.46349819,-51.05781204,-119.78794144,0,-21.91860141,0,-61.59094756,-14.39950003
"Asn_2",793.60690386,316.70446554,115.88801718,625.24327449,1466.89804674,0,268.41060303,0,754.22984642,176.3332621
"Gly_0",0,0,0,0,0,0,0,0,0,0
"Gly_1",0,0,0,0,0,0,0,0,0,0
"Arg_0",-86.48625973,3.08192831,-28.59172504,-114.76341855,2.74564372,-54.7039237,1.37880121,2.14769498,2.82641082,-54.88100281
"Arg_1",625.72718769,-193.5193216,90.0519549,776.14871031,-172.40346169,311.53226035,-86.57718381,-134.85728223,-177.47496043,365.6575191
"Arg_2",553.28187219,1578.89775278,1273.4993481,1239.87833628,1406.61633151,1136.56184743,706.37143532,1100.28217384,1447.99399811,644.31475641
"Arg_3",0,0,0,0,0,0,0,0,0,0
"Arg_4",0,0,0,0,0,0,0,0,0,0
"Ala_0",0,0,0,0,0,0,0,0,0,0
"Ala_1",0,0,0,0,0,0,0,0,0,0
"Asp_0",0,0,0,0,0,0,0,0,0,0
"Asp_1",0,0,0,0,0,0,0,0,0,0
"Glu_0",0,0,0,0,0,0,0,0,0,0
"Glu_1",0,0,0,0,0,0,0,0,0,0
"Orn_0",0,7.71639345,2.72621669,0,0,5.08967023,0.17843908,0,25.57929395,16.3253668
"Orn_1",0,-731.29340549,-258.36737094,0,0,-482.35517055,-16.91092138,0,-2424.18548299,-1547.17785726
"Orn_2",0,4913.0216156,1735.78001481,0,0,3240.58901876,113.6120217,0,16286.31625664,10394.34814929
"Pro_0",0,0,0,0,0,0,0,0,0,0
"Pro_1",0,0,0,0,0,0,0,0,0,0
