"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,2e-08,1e-08,0,0,0,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
"Cit_1.0",-4.353e-05,-4.025e-05,-4.536e-05,-4.09e-05,-4.152e-05,1e-08,-4.308e-05,-3.955e-05,1e-08,1e-08,-4.577e-05,0,1e-08,-4.581e-05,-4.187e-05,-4.533e-05,-4.382e-05,1e-08,-4.644e-05,-4.948e-05
"Cit_1.1",-3.828e-05,2e-08,-3.851e-05,-3.801e-05,-3.902e-05,-3.816e-05,-3.837e-05,-3.795e-05,-3.788e-05,1e-08,-3.885e-05,0,-3.831e-05,-3.853e-05,-3.817e-05,-3.805e-05,-3.836e-05,-3.837e-05,-3.821e-05,-3.885e-05
"Cit_2.1",-0.00033767,-0.00015673,-0.00027416,-0.00016775,-0.00022507,-4.901e-05,-0.00028764,-0.00018435,-4.004e-05,-4.207e-05,-0.00021001,4e-08,-3.944e-05,-0.0003984,-0.00010947,-0.00172861,-0.00030494,-4.03e-05,-0.00012525,Inf
"Cit_2.2",-0.00061472,-0.00016593,-0.0002698,-0.00047628,-0.00020233,-0.00036665,-0.00062537,-0.0005954,-0.00058984,-8.364e-05,-0.000996,-6.667e-05,-0.00020922,-0.00036351,-0.00042493,-0.00113194,-0.00056769,-0.00015483,-0.00061164,-0.00034861
"Cit_3.2",Inf,Inf,Inf,Inf,-Inf,-0.00010309,Inf,Inf,-0.00024532,-0.00012579,Inf,-5.658e-05,-0.00023944,Inf,Inf,Inf,Inf,-0.0001642,Inf,Inf
"Cit_3.3",-Inf,-0.00114443,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-0.00023032,-Inf,-0.00014662,-Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cit_4.3",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-4.807e-05,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf
"Cit_4.4",-Inf,-Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,-Inf,-Inf,Inf,-Inf,Inf,-Inf,-Inf,Inf,Inf,-Inf
"Cit_5.4",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cit_5.5",-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf,Inf,-Inf,-Inf,Inf,Inf,-Inf,Inf,-Inf,-Inf,Inf,-Inf,Inf
"Cit_6.5",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
