"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"Cit_0.0",2070000,1370000,1690000,349000,547000,1450000,638000,1380000,1670000,2100000,1430000,1840000,1610000,1950000,557000,569000,2370000,1600000,1730000,483000
"Cit_1.0",36600,124000,30700,15400,26500,23000,12100,107000,127000,95800,17600,132000,89700,28200,21300,7200,40600,128000,23600,5770
"Cit_1.1",121000,222000,113000,39000,37400,111000,33700,170000,183000,198000,45500,290000,151000,103000,49000,39200,129000,234000,109000,27900
"Cit_2.1",1460,10700,1570,1240,1490,1180,545,7380,8890,9300,1080,11800,9480,1010,3020,128,1770,11000,2920,57
"Cit_2.2",15900,21900,17300,3520,7840,12500,4840,14100,13800,17100,9650,17300,18900,16600,5470,4010,18300,29600,13300,4190
"Cit_3.2",0,0,0,0,0,349,0,0,1240,1710,0,2370,1050,0,0,0,0,1730,0,0
"Cit_3.3",0,1650,0,0,0,0,0,0,0,2320,0,2810,0,0,0,0,0,0,0,0
"Cit_4.3",0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0,0,0,0,0,0
"Cit_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cit_6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
