"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Arg_0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,1e-08,0,0,1e-08,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,0,0,1e-08,0,0,0,0,0,1e-08,0,1e-08,0,0,0,0,0
"Arg_1.1",1.09e-06,1.6e-06,1.37e-06,1.29e-06,1.63e-06,9e-07,1.15e-06,1.62e-06,1.13e-06,6.9e-07,1.24e-06,9e-07,1.3e-06,1.21e-06,1.15e-06,2.57e-06,1.24e-06,1.19e-06,2.26e-06,1.01e-06,1.21e-06,2.93e-06,6.5e-07,1.39e-06,1.24e-06,8.7e-07,1.2e-06,6.3e-07,8.1e-07,1.76e-06,1.67e-06,9.2e-07,1.98e-06,1.02e-06,1.07e-06,1.41e-06,1.25e-06,2.28e-06,1.21e-06,1.65e-06,1.14e-06,1.37e-06,1.22e-06,3.59e-06,1.25e-06,1.89e-06,1.76e-06,1.43e-06,8e-07,8.5e-07,1.62e-06
"Arg_2.2",-8.82e-05,-9.819e-05,-8.89e-05,-9.037e-05,-8.016e-05,-9.512e-05,-8.372e-05,-8.228e-05,-8.759e-05,-0.00019659,-8.431e-05,-0.0001095,-9.726e-05,-9.454e-05,-8.492e-05,-6.988e-05,-0.00010044,-9.885e-05,-7.35e-05,-8.618e-05,-9.765e-05,-4.352e-05,-0.00017234,-8.108e-05,-9.742e-05,-0.00012505,-8.225e-05,-0.00014897,-0.00012518,-0.00011223,-8.763e-05,-9.777e-05,-7.345e-05,-9.3e-05,-9.637e-05,-8.883e-05,-9.79e-05,-0.00011034,-9.576e-05,-8.233e-05,-9.319e-05,-9.806e-05,-9.685e-05,-5.88e-05,-9.785e-05,-7.442e-05,-7.477e-05,-8.613e-05,-0.00019846,-8.611e-05,-0.00010182
"Arg_3.3",-0.00689104,-0.00576928,-0.00631185,-0.00644713,-0.00641022,-0.00697465,-0.00687465,-0.00629664,-0.00675124,-0.00611851,-0.00683028,-0.00650222,-0.00601462,-0.00634641,-0.00692017,-0.00643321,-0.00618214,-0.00628997,-0.00635093,-0.0073166,-0.00618169,-0.01109568,-0.00654917,-0.00663718,-0.00617226,-0.00635064,-0.00697296,-0.00694374,-0.00650855,-0.0053629,-0.00600293,-0.00694659,-0.00649618,-0.00677826,-0.00650508,-0.00622537,-0.00621394,-0.00513684,-0.00629657,-0.00633385,-0.00651544,-0.00596381,-0.00628185,-0.00717681,-0.00622639,-0.0065437,-0.00667683,-0.00634867,-0.00566598,-0.00786451,-0.00566698
"Arg_4.4",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf
"Arg_5.5",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,-Inf
"Arg_6.6",Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,-Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf
"Ser_0.0",2.8e-07,2.8e-07,2.8e-07,2.9e-07,3e-07,2.7e-07,2.8e-07,-3.01e-06,2.8e-07,2.8e-07,2.7e-07,2.8e-07,3e-07,2e-08,2.7e-07,2.8e-07,2.8e-07,2.7e-07,2.9e-07,2.9e-07,2.8e-07,2.7e-07,2.7e-07,2.8e-07,2.7e-07,2.7e-07,2.8e-07,2.7e-07,2.7e-07,2.8e-07,2.6e-07,2.9e-07,2.8e-07,-1.9e-07,2.7e-07,3e-07,2.8e-07,2.8e-07,2.9e-07,2.7e-07,2.8e-07,2.9e-07,3e-07,2.8e-07,2.9e-07,2.8e-07,2.7e-07,3e-07,-1.1e-07,2.7e-07,2.8e-07
"Ser_1.1",-0.00011889,-0.0001317,-0.00012486,-0.00013226,-0.0001283,-0.00013154,-0.00012354,-0.00077749,-0.00012617,-0.00012227,-0.00013002,-0.00013492,-0.00012362,-0.00017371,-0.00012278,-0.00012235,-0.00013629,-0.00012505,-0.00012347,-0.00012504,-0.00012517,-0.00013218,-0.00012425,-0.00013306,-0.00012835,-0.00012817,-0.00012692,-0.00012913,-0.00012914,-0.00012703,-0.00012749,-0.00012529,-0.00013339,-0.00019486,-0.00013041,-0.00012945,-0.0001291,-0.00012747,-0.00012533,-0.0001284,-0.00012348,-0.00011835,-0.00013675,-0.00012593,-0.00012267,-0.00012798,-0.00013501,-0.00012443,-0.00021059,-0.00012547,-0.00013197
"Ser_2.2",-0.18590345,-0.0341939,-0.05479304,-0.02577347,-0.02881551,-0.04531492,-0.05380311,Inf,-0.0485333,-0.0910411,-0.06854574,-0.03382511,-0.03445969,Inf,-1.43900361,-0.07297486,-0.02799465,-0.10770699,-0.0521047,-0.04616126,-0.05393978,-0.06237558,-0.08667092,-0.0356743,-0.06129193,-0.05980466,-0.05984678,-0.07206855,-0.06025542,-0.04564134,-0.14570235,-0.03659814,-0.03331567,Inf,-0.04753978,-0.02793479,-0.05113114,-0.05895572,-0.03865672,-0.06817293,-0.06595546,-0.05703454,-0.02160144,-0.05491179,-0.04955766,-0.05565293,-0.0516767,-0.0352489,Inf,-0.08811953,-0.03880206
